institution_code,standard_institution_code,institution_name,normalized_name,aliases,ministry,institution_type,institution_classification,sido,sigungu
C0854,,한국건강증진개발원,한국건강증진개발원,,,기타공공기관,연구교육,,
C1319,,한국고용노동교육원,한국고용노동교육원,,,기타공공기관,기타,,
C0321,,한국고용정보원,한국고용정보원,,,준정부기관(위탁집행형),고용보건복지,,
C0067,,한국고전번역원,한국고전번역원,,,기타공공기관,연구교육,,
C0452,,한국공예디자인문화진흥원,한국공예디자인문화진흥원,,,기타공공기관,문화예술외교법무,,
C0655,,한국공정거래조정원,한국공정거래조정원,,,기타공공기관,문화예술외교법무,,
C0157,,한국공항공사,한국공항공사,,,공기업(시장형),SOC,,
C0158,,한국과학기술기획평가원,한국과학기술기획평가원,,,기타공공기관,연구교육,,
C0163,,한국과학창의재단,한국과학창의재단,,,기타공공기관,연구교육,,
C0165,,한국관광공사,한국관광공사,,,준정부기관(위탁집행형),문화예술외교법무,,
C1400,,한국관세정보원,한국관세정보원,,,기타공공기관,SOC,,
C1364,,한국광해광업공단,한국광해광업공단,,,공기업(준시장형),에너지,,
C0167,,한국교육개발원,한국교육개발원,,,기타공공기관,연구교육,,
C0168,,한국교육과정평가원,한국교육과정평가원,,,기타공공기관,연구교육,,
C0145,,한국교육학술정보원,한국교육학술정보원,,,기타공공기관,연구교육,,
C0019,,한국교통안전공단,한국교통안전공단,,,준정부기관(위탁집행형),SOC,,
C0170,,한국교통연구원,한국교통연구원,,,기타공공기관,연구교육,,
C0171,,한국국방연구원,한국국방연구원,,,기타공공기관,연구교육,,
C0172,,한국국제교류재단,한국국제교류재단,,,기타공공기관,문화예술외교법무,,
C0379,,한국국제보건의료재단,한국국제보건의료재단,,,기타공공기관,고용보건복지,,
C0146,,한국국제협력단,한국국제협력단,,,준정부기관(위탁집행형),문화예술외교법무,,
C0062,,한국국토정보공사,한국국토정보공사,,,준정부기관(위탁집행형),SOC,,
C0864,,한국기상산업기술원,한국기상산업기술원,,,기타공공기관,산업진흥정보화,,
C0175,,한국기술교육대학교,한국기술교육대학교,,,기타공공기관,연구교육,,
C0631,,한국나노기술원,한국나노기술원,,,기타공공기관,연구교육,,
C0042,,한국남동발전(주),한국남동발전,한국남동발전,,공기업(시장형),에너지,,
C0043,,한국남부발전(주),한국남부발전,한국남부발전,,공기업(시장형),에너지,,
C0179,,한국노동연구원,한국노동연구원,,,기타공공기관,연구교육,,
C0378,,한국노인인력개발원,한국노인인력개발원,,,기타공공기관,고용보건복지,,
C0045,,한국농수산식품유통공사,한국농수산식품유통공사,,,준정부기관(위탁집행형),농림수산환경,,
C0046,,한국농어촌공사,한국농어촌공사,,,준정부기관(위탁집행형),농림수산환경,,
C0422,,한국농업기술진흥원,한국농업기술진흥원,,,기타공공기관,농림수산환경,,
C0181,,한국농촌경제연구원,한국농촌경제연구원,,,기타공공기관,연구교육,,
C0527,,한국데이터산업진흥원,한국데이터산업진흥원,,,기타공공기관,산업진흥정보화,,
C0183,,한국도로공사,한국도로공사,,,공기업(시장형),SOC,,
C1294,,한국도로공사서비스(주),한국도로공사서비스,한국도로공사서비스,,기타공공기관,기타,,
C0064,,한국도로교통공단,한국도로교통공단,,,준정부기관(위탁집행형),SOC,,
C0922,,한국도박문제예방치유원,한국도박문제예방치유원,,,기타공공기관,고용보건복지,,
C0066,,한국동서발전(주),한국동서발전,한국동서발전,,공기업(시장형),에너지,,
C0844,,한국등산·트레킹지원센터,한국등산·트레킹지원센터,,,기타공공기관,기타,,
C0184,,한국디자인진흥원,한국디자인진흥원,,,기타공공기관,산업진흥정보화,,
C0450,,한국로봇산업진흥원,한국로봇산업진흥원,,,기타공공기관,산업진흥정보화,,
C0185,,한국마사회,한국마사회,,,공기업(준시장형),농림수산환경,,
C0571,,한국마약퇴치운동본부,한국마약퇴치운동본부,,,기타공공기관,기타,,
C0222,,한국무역보험공사,한국무역보험공사,,,준정부기관(기금관리형),금융,,
C0188,,한국문학번역원,한국문학번역원,,,기타공공기관,문화예술외교법무,,
C0189,,한국문화관광연구원,한국문화관광연구원,,,기타공공기관,연구교육,,
C0320,,한국문화예술교육진흥원,한국문화예술교육진흥원,,,기타공공기관,산업진흥정보화,,
C0190,,한국문화예술위원회,한국문화예술위원회,,,기타공공기관,산업진흥정보화,,
C0663,,한국문화정보원,한국문화정보원,,,기타공공기관,문화예술외교법무,,
C0192,,한국문화진흥주식회사,한국문화진흥,,,기타공공기관,산업진흥정보화,,
C1335,,한국물기술인증원,한국물기술인증원,,,기타공공기관,SOC,,
C0348,,한국발명진흥회,한국발명진흥회,,,기타공공기관,기타,,
C0196,,한국방송광고진흥공사,한국방송광고진흥공사,,,기타공공기관,문화예술외교법무,,
C0187,,한국방송통신전파진흥원,한국방송통신전파진흥원,,,준정부기관(위탁집행형),산업진흥정보화,,
C0152,,한국법무보호복지공단,한국법무보호복지공단,,,준정부기관(위탁집행형),문화예술외교법무,,
C0198,,한국법제연구원,한국법제연구원,,,기타공공기관,연구교육,,
C0199,,한국벤처투자,한국벤처투자,,,기타공공기관,금융,,
C0070,,한국보건복지인재원,한국보건복지인재원,,,기타공공기관,연구교육,,
C0200,,한국보건사회연구원,한국보건사회연구원,,,기타공공기관,연구교육,,
C0201,,한국보건산업진흥원,한국보건산업진흥원,,,기타공공기관,산업진흥정보화,,
C0662,,한국보건의료연구원,한국보건의료연구원,,,기타공공기관,연구교육,,
C0202,,한국보건의료인국가시험원,한국보건의료인국가시험원,,,기타공공기관,고용보건복지,,
C0203,,한국보훈복지의료공단,한국보훈복지의료공단,,,준정부기관(위탁집행형),고용보건복지,,
C0150,,한국부동산원,한국부동산원,,,공기업(준시장형),SOC,,
C0205,,한국사학진흥재단,한국사학진흥재단,,,기타공공기관,연구교육,,
C0411,,한국사회보장정보원,한국사회보장정보원,,,준정부기관(위탁집행형),고용보건복지,,
C0377,,한국사회복지협의회,한국사회복지협의회,,,기타공공기관,기타,,
C0456,,한국사회적기업진흥원,한국사회적기업진흥원,,,기타공공기관,산업진흥정보화,,
C1055,,한국산림복지진흥원,한국산림복지진흥원,,,준정부기관(위탁집행형),농림수산환경,,
C0397,,한국산업기술기획평가원,한국산업기술기획평가원,,,준정부기관(위탁집행형),산업진흥정보화,,
C0076,,한국산업기술시험원,한국산업기술시험원,,,기타공공기관,기타,,
C0393,,한국산업기술진흥원,한국산업기술진흥원,,,준정부기관(위탁집행형),산업진흥정보화,,
C0208,,한국산업단지공단,한국산업단지공단,,,준정부기관(위탁집행형),산업진흥정보화,,
C0209,,한국산업안전보건공단,한국산업안전보건공단,,,준정부기관(위탁집행형),고용보건복지,,
C0210,,한국산업은행,한국산업은행,,,기타공공기관,금융,,
C0211,,한국산업인력공단,한국산업인력공단,,,준정부기관(위탁집행형),고용보건복지,,
C0620,,한국상하수도협회,한국상하수도협회,,,기타공공기관,SOC,,
C1367,,한국생명존중희망재단,한국생명존중희망재단,,,기타공공기관,기타,,
C0082,,한국서부발전(주),한국서부발전,한국서부발전,,공기업(시장형),에너지,,
C0214,,한국석유공사,한국석유공사,,,공기업(시장형),에너지,,
C0215,,한국석유관리원,한국석유관리원,,,준정부기관(위탁집행형),에너지,,
C0103,,한국세라믹기술원,한국세라믹기술원,,,기타공공기관,연구교육,,
C0217,,한국소방산업기술원,한국소방산업기술원,,,기타공공기관,산업진흥정보화,,
C0218,,한국소비자원,한국소비자원,,,준정부기관(위탁집행형),기타,,
C0220,,한국수력원자력(주),한국수력원자력,한국수력원자력,,공기업(시장형),에너지,,
C1107,,한국수목원정원관리원,한국수목원정원관리원,,,준정부기관(위탁집행형),연구교육,,
C0455,,한국수산자원공단,한국수산자원공단,,,기타공공기관,농림수산환경,,
C0221,,한국수자원공사,한국수자원공사,,,공기업(준시장형),SOC,,
C1127,,한국수자원조사기술원,한국수자원조사기술원,,,기타공공기관,연구교육,,
C0223,,한국수출입은행,한국수출입은행,,,기타공공기관,금융,,
C1410,,한국스포츠레저(주),한국스포츠레저,한국스포츠레저,,기타공공기관,SOC,,
C0224,,한국승강기안전공단,한국승강기안전공단,,,준정부기관(위탁집행형),기타,,
C1138,,한국식품산업클러스터진흥원,한국식품산업클러스터진흥원,,,기타공공기관,산업진흥정보화,,
C1100,,한국식품안전관리인증원,한국식품안전관리인증원,,,기타공공기관,고용보건복지,,
C0594,,한국양성평등교육진흥원,한국양성평등교육진흥원,,,기타공공기관,연구교육,,
C0335,,한국어촌어항공단,한국어촌어항공단,,,기타공공기관,농림수산환경,,
C0412,,한국언론진흥재단,한국언론진흥재단,,,기타공공기관,산업진흥정보화,,
C0097,,한국에너지공단,한국에너지공단,,,준정부기관(위탁집행형),에너지,,
C0389,,한국에너지기술평가원,한국에너지기술평가원,,,기타공공기관,에너지,,
C0233,,한국에너지정보문화재단,한국에너지정보문화재단,,,기타공공기관,에너지,,
C0901,,한국여성과학기술인육성재단,한국여성과학기술인육성재단,,,기타공공기관,고용보건복지,,
C0902,,한국여성인권진흥원,한국여성인권진흥원,,,기타공공기관,고용보건복지,,
C0231,,한국여성정책연구원,한국여성정책연구원,,,기타공공기관,연구교육,,
C0388,,한국연구재단,한국연구재단,,,준정부기관(위탁집행형),연구교육,,
C0232,,한국영상자료원,한국영상자료원,,,기타공공기관,기타,,
C0849,,한국영유아보육·교육진흥원,한국영유아보육·교육진흥원,,,기타공공기관,고용보건복지,,
C0868,,한국예술인복지재단,한국예술인복지재단,,,기타공공기관,문화예술외교법무,,
C0916,,한국원산지정보원,한국원산지정보원,,,기타공공기관,연구교육,,
C0234,,한국원자력안전기술원,한국원자력안전기술원,,,기타공공기관,에너지,,
C0932,,한국원자력안전재단,한국원자력안전재단,,,기타공공기관,에너지,,
C0104,,한국원자력의학원,한국원자력의학원,,,기타공공기관,고용보건복지,,
C0020,,한국원자력통제기술원,한국원자력통제기술원,,,기타공공기관,기타,,
C0371,,한국원자력환경공단,한국원자력환경공단,,,준정부기관(위탁집행형),에너지,,
C0865,,한국의료기기안전정보원,한국의료기기안전정보원,,,기타공공기관,고용보건복지,,
C0870,,한국의료분쟁조정중재원,한국의료분쟁조정중재원,,,기타공공기관,기타,,
C0862,,한국의약품안전관리원,한국의약품안전관리원,,,기타공공기관,연구교육,,
C0399,,한국인터넷진흥원,한국인터넷진흥원,KISA,,준정부기관(위탁집행형),산업진흥정보화,,
C0857,,한국임업진흥원,한국임업진흥원,,,기타공공기관,산업진흥정보화,,
C0240,,한국자산관리공사,한국자산관리공사,,,준정부기관(기금관리형),금융,,
C0859,,한국잡월드,한국잡월드,,,기타공공기관,연구교육,,
C0243,,한국장애인개발원,한국장애인개발원,,,기타공공기관,고용보건복지,,
C0242,,한국장애인고용공단,한국장애인고용공단,,,준정부기관(위탁집행형),고용보건복지,,
C0415,,한국장학재단,한국장학재단,,,준정부기관(위탁집행형),금융,,
C1042,,한국재정정보원,한국재정정보원,,,준정부기관(위탁집행형),금융,,
C1049,,한국저작권보호원,한국저작권보호원,,,기타공공기관,문화예술외교법무,,
C0390,,한국저작권위원회,한국저작권위원회,,,기타공공기관,문화예술외교법무,,
C0244,,한국전기안전공사,한국전기안전공사,,,준정부기관(위탁집행형),기타,,
C0246,,한국전력거래소,한국전력거래소,,,준정부기관(위탁집행형),에너지,,
C0247,,한국전력공사,한국전력공사,한전,,공기업(시장형),에너지,,
C1070,,한국전력국제원자력대학원대학교,한국전력국제원자력대학원대학교,,,기타공공기관,연구교육,,
C0248,,한국전력기술주식회사,한국전력기술,,,공기업(준시장형),에너지,,
C1124,,한국제품안전관리원,한국제품안전관리원,,,기타공공기관,기타,,
C0256,,한국조세재정연구원,한국조세재정연구원,,,기타공공기관,연구교육,,
C0257,,한국조폐공사,한국조폐공사,,,공기업(준시장형),금융,,
C0258,,한국주택금융공사,한국주택금융공사,,,준정부기관(기금관리형),금융,,
C0259,,한국중부발전(주),한국중부발전,한국중부발전,,공기업(시장형),에너지,,
C0126,,한국중소벤처기업유통원,한국중소벤처기업유통원,,,기타공공기관,기타,,
C0392,,한국지능정보사회진흥원,한국지능정보사회진흥원,,,준정부기관(위탁집행형),산업진흥정보화,,
C0416,,한국지식재산보호원,한국지식재산보호원,,,기타공공기관,기타,,
C0407,,한국지식재산연구원,한국지식재산연구원,,,기타공공기관,기타,,
C0261,,한국지역난방공사,한국지역난방공사,,,공기업(시장형),에너지,,
C0264,,한국직업능력연구원,한국직업능력연구원,,,기타공공기관,연구교육,,
C0268,,한국철도공사,한국철도공사,,,공기업(준시장형),SOC,,
C0278,,한국청소년상담복지개발원,한국청소년상담복지개발원,,,기타공공기관,연구교육,,
C0276,,한국청소년정책연구원,한국청소년정책연구원,,,기타공공기관,연구교육,,
C0447,,한국청소년활동진흥원,한국청소년활동진흥원,,,기타공공기관,연구교육,,
C0280,,한국체육산업개발(주),한국체육산업개발,한국체육산업개발,,기타공공기관,기타,,
C0149,,한국출판문화산업진흥원,한국출판문화산업진흥원,,,기타공공기관,문화예술외교법무,,
C1386,,한국치산기술협회,한국치산기술협회,,,기타공공기관,기타,,
C0395,,한국콘텐츠진흥원,한국콘텐츠진흥원,,,기타공공기관,산업진흥정보화,,
C1368,,한국탄소산업진흥원,한국탄소산업진흥원,,,기타공공기관,산업진흥정보화,,
C0396,,한국토지주택공사,한국토지주택공사,LH,,공기업(준시장형),SOC,,
C0284,,한국투자공사,한국투자공사,,,기타공공기관,금융,,
C0858,,한국특허기술진흥원,한국특허기술진흥원,,,기타공공기관,기타,,
C0899,,한국특허전략개발원,한국특허전략개발원,,,기타공공기관,기타,,
C0340,,한국특허정보원,한국특허정보원,,,기타공공기관,산업진흥정보화,,
C0290,,한국학중앙연구원,한국학중앙연구원,,,기타공공기관,연구교육,,
C1053,,한국한의약진흥원,한국한의약진흥원,,,기타공공기관,고용보건복지,,
C0373,,한국항로표지기술원,한국항로표지기술원,,,기타공공기관,연구교육,,
C0297,,한국해양과학기술원,한국해양과학기술원,,,기타공공기관,연구교육,,
C0087,,한국해양교통안전공단,한국해양교통안전공단,,,준정부기관(위탁집행형),산업진흥정보화,,
C0295,,한국해양수산개발원,한국해양수산개발원,,,기타공공기관,연구교육,,
C0296,,한국해양수산연수원,한국해양수산연수원,,,기타공공기관,연구교육,,
C0654,,한국해양조사협회,한국해양조사협회,,,기타공공기관,농림수산환경,,
C1119,,한국해양진흥공사,한국해양진흥공사,,,기타공공기관,농림수산환경,,
C1131,,한국해외인프라도시개발지원공사,한국해외인프라도시개발지원공사,,,기타공공기관,기타,,
C0298,,한국행정연구원,한국행정연구원,,,기타공공기관,연구교육,,
C0299,,한국형사·법무정책연구원,한국형사·법무정책연구원,,,기타공공기관,연구교육,,
C0400,,한국환경공단,한국환경공단,,,준정부기관(위탁집행형),농림수산환경,,
C1062,,한국환경보전원,한국환경보전원,,,기타공공기관,농림수산환경,,
C0391,,한국환경산업기술원,한국환경산업기술원,,,준정부기관(위탁집행형),농림수산환경,,
C0302,,한국환경연구원,한국환경연구원,,,기타공공기관,연구교육,,
C0920,,한식진흥원,한식진흥원,,,기타공공기관,문화예술외교법무,,
C0306,,한전KDN,한전kdn,,,공기업(준시장형),에너지,,
C0305,,한전KPS(주),한전kps,한전KPS,,공기업(준시장형),에너지,,
C1352,,한전MCS(주),한전mcs,한전MCS,,기타공공기관,기타,,
C0236,,한전원자력연료주식회사,한전원자력연료,,,기타공공기관,에너지,,
C0900,,항공안전기술원,항공안전기술원,,,기타공공기관,기타,,
C0374,,해양수산과학기술진흥원,해양수산과학기술진흥원,,,기타공공기관,연구교육,,
C0533,,해양환경공단,해양환경공단,,,공기업(준시장형),농림수산환경,,
